instance,method,sweep,chords,relC
rand100x10,HYB,5,550,0.6089776872013872
rand100x10,HYB,6,660,0.6290110016331797
rand100x10,HYB,7,770,0.6377816988914803
rand100x10,HYB,8,880,0.6438799820440745
rand100x10,CN-rand,0,0,0.0267551458473357
rand100x10,CN-rand,1,110,0.5451620288780737
rand100x10,CN-rand,2,220,0.5845533033318197
rand100x10,CN-rand,3,330,0.7194429101065053
rand100x10,CN-rand,4,440,0.7444988394688934
rand100x10,CN-rand,5,550,0.7266972427257372
rand100x10,CN-rand,6,660,0.708040650060862
rand100x10,CN-rand,7,770,0.7355765342945936
rand100x10,CN-rand,8,880,0.7151501882329295
rand100x10,CN-rand,9,990,0.6896331732694608
rand100x10,CN-rand,10,1100,0.634037305675394
rand100x10,CN-rand,11,1210,0.7068450929982771
rand100x10,CN-rand,12,1320,0.7121119478368336
rand100x10,CN-rand,13,1430,0.7145262535092839
rand100x10,CN-rand,14,1540,0.6993883011521498
rand100x10,CN-rand,15,1650,0.6718444576862477
rand100x10,CN-rand,16,1760,0.64801794045294
rand100x10,CN-rand,17,1870,0.6226734743941361
rand100x10,CN-rand,18,1980,0.5973450812572992
rand100x10,CN-rand,19,2090,0.5701679268921829
rand100x10,CN-rand,20,2200,0.547285974585918
rand100x10,CN-rand,21,2310,0.5303000810226631
rand100x10,CN-rand,22,2420,0.5182696551301791
rand100x10,CN-rand,23,2530,0.5199372323594198
rand100x10,CN-rand,24,2640,0.5278300115466369
rand100x10,CN-rand,25,2750,0.5412002521262923
rand100x10,CN-rand,26,2860,0.5518262756153111
rand100x10,CN-rand,27,2970,0.5619056454512991
rand100x10,CN-rand,28,3080,0.5805658130663611
rand100x10,CN-rand,29,3190,0.6015750781353043
rand100x10,CN-rand,30,3300,0.6189040309738075
rand100x10,CN-rand,31,3410,0.606300800214405
rand100x10,CN-rand,32,3520,0.5936766347147764
rand100x10,CN-rand,33,3630,0.5862418220394306
rand100x10,CN-rand,34,3740,0.5776159042805493
rand100x10,CN-rand,35,3850,0.6378359704037175
rand100x10,CN-rand,36,3960,0.6151305564539769
rand100x10,CN-rand,37,4070,0.5938612559019953
rand100x10,CN-rand,38,4180,0.57943118033114
rand100x10,CN-rand,39,4290,0.5637606547119685
rand100x10,CN-rand,40,4400,0.5484877664436338
rand100x10,CN-rand,41,4510,0.5398436704383709
rand100x10,CN-rand,42,4620,0.5316912780921605
rand100x10,CN-rand,43,4730,0.5186578168447386
rand100x10,CN-rand,44,4840,0.5061717114423693
rand100x10,CN-rand,45,4950,0.4907359023832865
rand100x10,CN-rand,46,5060,0.4767207249097814
rand100x10,CN-rand,47,5170,0.5737477971354017
rand100x10,CN-rand,48,5280,0.5690373971048334
rand100x10,CN-rand,49,5390,0.555193864605763
rand100x10,CN-rand,50,5500,0.5341963387873901
rand100x10,CN-rand,51,5610,0.5193360900200906
rand100x10,CN-rand,52,5720,0.5004197259245543
rand100x10,CN-rand,53,5830,0.4873733643351988
rand100x10,CN-rand,54,5940,0.47871800531773673
rand100x10,CN-rand,55,6050,0.47262631414477907
rand100x10,CN-rand,56,6160,0.46641497850306207
rand100x10,CN-rand,57,6270,0.4617276494965758
rand100x10,CN-rand,58,6380,0.45907396037591086
rand100x10,CN-rand,59,6490,0.46188008944856296
