rep,copies,method,drift
6,5,P-w,4.742012784425781e-15
6,5,CN-w,1.1919000214312234
6,5,analytic,0.7288074144704862
6,5,chebyshev,0.0
7,2,P,1.0841694146371625
7,2,CN,1.096709650672313
7,2,P-w,3.8887316154246905e-15
7,2,CN-w,1.095431965022139
7,2,analytic,0.43001331396221215
7,2,chebyshev,0.0
7,5,P,1.7038214657828112
7,5,CN,1.0850226934811855
7,5,P-w,8.314605555578946e-15
7,5,CN-w,1.0685551202060817
7,5,analytic,0.8523346391820865
7,5,chebyshev,0.0
8,2,P,0.8736754500318118
8,2,CN,1.9510086179181305
8,2,P-w,5.198883294105808e-15
8,2,CN-w,2.772213338826143
8,2,analytic,0.3910773438259744
8,2,chebyshev,0.0
8,5,P,1.4798588546640716
8,5,CN,0.8976715202122323
8,5,P-w,1.1443986328895983e-14
8,5,CN-w,0.9670821870059855
8,5,analytic,0.7870043606875822
8,5,chebyshev,0.0
9,2,P,0.3970481545380664
9,2,CN,1.3148449941672828
9,2,P-w,6.427114846171984e-15
9,2,CN-w,1.2760203121589817
9,2,analytic,0.37605910336467185
9,2,chebyshev,0.0
9,5,P,1.108670901618169
9,5,CN,1.3156361272405144
9,5,P-w,1.2799690841757226e-14
9,5,CN-w,1.235104304193944
9,5,analytic,0.7544231437758168
9,5,chebyshev,0.0
10,2,P,1.0404433469001053
10,2,CN,1.3663933796413736
10,2,P-w,9.573486098678905e-15
10,2,CN-w,1.3395301502638484
10,2,analytic,0.4207284567980603
10,2,chebyshev,0.0
10,5,P,1.7246298819827859
10,5,CN,1.3620931941830245
10,5,P-w,1.3531305916160568e-14
10,5,CN-w,1.3296060415083797
10,5,analytic,0.8428471868045765
10,5,chebyshev,0.0
11,2,P,0.47754101956503486
11,2,CN,1.884317503637351
11,2,P-w,3.7205894175915975e-15
11,2,CN-w,1.8898435402328686
11,2,analytic,0.3686535075284856
11,2,chebyshev,0.0
11,5,P,1.7093296804142881
11,5,CN,1.887387699128186
11,5,P-w,4.699304988937019e-15
11,5,CN-w,1.884381320312125
11,5,analytic,0.7393341417831557
11,5,chebyshev,0.0
12,2,P,0.520860696337738
12,2,CN,1.3116239164043906
12,2,P-w,2.4747934494493888e-15
12,2,CN-w,1.334276452398689
12,2,analytic,0.37208592085244835
12,2,chebyshev,0.0
12,5,P,1.4316759297687394
12,5,CN,1.3171267183555062
12,5,P-w,8.14134486585235e-15
12,5,CN-w,1.3512843305984144
12,5,analytic,0.7363713711661681
12,5,chebyshev,0.0
13,2,P,1.0486441383617504
13,2,CN,3.4339308841645146
13,2,P-w,7.183267657238071e-15
13,2,CN-w,3.3771380312887045
13,2,analytic,0.4582021063273185
13,2,chebyshev,0.0
13,5,P,1.918178179098413
13,5,CN,2.9026389793929854
13,5,P-w,1.5640650450994152e-14
13,5,CN-w,2.9011970540885743
13,5,analytic,0.9336915422256928
13,5,chebyshev,0.0
14,2,P,0.683191505711183
14,2,CN,1.193163567821146
14,2,P-w,4.886001772763668e-15
14,2,CN-w,1.1270305599878467
14,2,analytic,0.3734012408071165
14,2,chebyshev,0.0
14,5,P,1.2620400409294918
14,5,CN,0.997005458693934
14,5,P-w,1.0309128644467581e-14
14,5,CN-w,1.2813204422646314
14,5,analytic,0.741433600376163
14,5,chebyshev,0.0
15,2,P,0.7246619166186258
15,2,CN,1.1296200770858817
15,2,P-w,5.642662319818777e-15
15,2,CN-w,0.930389337798537
15,2,analytic,0.3715148718144605
15,2,chebyshev,0.0
15,5,P,1.5819253488152214
15,5,CN,1.0874684326944972
15,5,P-w,1.292228103564574e-14
15,5,CN-w,0.8312983266069844
15,5,analytic,0.7287062080989555
15,5,chebyshev,0.0
