tag,sweep,chords,x,y
wedge_narrow_CN,25,75,1.5183055253801896,3.2169836859180125
wedge_narrow_CN,26,78,1.5057833543409316,3.2308837284950407
wedge_narrow_CN,27,81,1.4955461609139717,3.2422473669613985
wedge_narrow_CN,28,84,1.4871769948218911,3.2515374305333964
wedge_narrow_CN,29,87,1.4803349886044084,3.259132293871163
wedge_narrow_CN,30,90,1.474741474440032,3.2653412878863612
wedge_narrow_CN,31,93,1.47016863429453,3.2704172984696016
wedge_narrow_CN,32,96,1.4664302211285296,3.27456706627065
wedge_narrow_CN,33,99,1.4633739732486484,3.2779596070308035
wedge_narrow_CN,34,102,1.460875412846543,3.280733095418853
wedge_narrow_CN,35,105,1.458832776146796,3.283000492742118
wedge_narrow_CN,36,108,1.4571628686738218,3.2848541477434163
wedge_narrow_CN,37,111,1.4557976768271075,3.286369557869636
wedge_narrow_CN,38,114,1.454681597757758,3.287608444204493
wedge_narrow_CN,39,117,1.4537691747220969,3.2886212653043
wedge_narrow_CN,40,120,1.453023245675609,3.289449272322662
wedge_narrow_HYB,0,0,3.5,1.5
wedge_narrow_HYB,1,3,3.4257709369217664,1.5268373729033826
wedge_narrow_HYB,2,6,3.358572733034611,1.5804203321374084
wedge_narrow_HYB,3,9,3.286739481008578,1.6376992174692537
wedge_narrow_HYB,4,12,3.209951474809774,1.698928958262952
wedge_narrow_HYB,5,15,3.127866956433093,1.7643820678327906
wedge_narrow_HYB,6,18,3.040120594850434,1.834349856309892
wedge_narrow_HYB,7,21,2.9463218600431897,1.9091437271672114
wedge_narrow_HYB,8,24,2.8460532848823648,1.9890965631733424
wedge_narrow_HYB,9,27,2.7388686071205335,2.0745642079435647
wedge_narrow_HYB,10,30,2.6242907832262508,2.1659270496820207
wedge_narrow_HYB,11,33,2.5018098652211562,2.2635917141637365
wedge_narrow_HYB,12,36,2.3708807310702755,2.3679928744913847
wedge_narrow_HYB,13,39,2.2309206585242287,2.479595185681424
wedge_narrow_HYB,14,42,2.0813067316153346,2.5988953526898175
wedge_narrow_HYB,15,45,1.9642751076044789,2.721942038463838
wedge_narrow_HYB,16,48,1.8703748346407523,2.826174586326221
wedge_narrow_HYB,17,51,1.793608972382495,2.911387346198833
wedge_narrow_HYB,18,54,1.730850926827823,2.9810509454681764
wedge_narrow_HYB,19,57,1.6795446278300716,3.0380027103260976
wedge_narrow_HYB,20,60,1.6376004230100942,3.084562227124699
wedge_narrow_HYB,21,63,1.603309968380784,3.1226258167242
wedge_narrow_HYB,22,66,1.5752766492671804,3.153743769676039
wedge_narrow_HYB,23,69,1.5523586976383499,3.179183487950155
wedge_narrow_HYB,24,72,1.5336226890789308,3.1999811049035594
wedge_narrow_HYB,25,75,1.5183055253801896,3.2169836859180125
wedge_narrow_HYB,26,78,1.5057833543409316,3.2308837284950407
wedge_narrow_HYB,27,81,1.4955461609139717,3.2422473669613985
wedge_narrow_HYB,28,84,1.4871769948218911,3.2515374305333964
wedge_narrow_HYB,29,87,1.4666076772909664,3.2451578671998136
wedge_narrow_HYB,30,90,1.4616767797141206,3.247261707999263
wedge_narrow_HYB,31,93,1.4588863371544345,3.2500294098297906
wedge_narrow_HYB,32,96,1.456609006633667,3.2525781847762487
wedge_narrow_HYB,33,99,1.454622051171187,3.2548389510777795
wedge_narrow_HYB,34,102,1.4528720760329967,3.2568344903919026
wedge_narrow_HYB,35,105,1.45132886462346,3.2585947730639204
wedge_narrow_HYB,36,108,1.4499677566336793,3.260147398766744
wedge_narrow_HYB,37,111,1.4487672361110873,3.2615168484419104
wedge_narrow_HYB,38,114,1.4477083532690471,3.262724730993112
wedge_narrow_HYB,39,117,1.446774397283327,3.2637901078231812
