m,n,rep,method,sweeps,chords,seconds,relC_final,converged
100,10,17,analytic,0,0,0,0.3991592065015265,1
100,10,18,P,37,3700,0.14347409998299554,0.8541176384434647,1
100,10,18,CN,151,15100,0.8824571000295691,0.6749775761527989,1
100,10,18,CN-rand,30,3000,0.1710746000171639,0.7595421061247101,0
100,10,18,CN-greedy,30,3000,0.21110190002946183,0.9807295345315348,0
100,10,18,analytic,0,0,0,0.5359276403126282,1
100,10,19,P,73,7300,0.28293599997414276,0.7562562367472647,1
100,10,19,CN,159,15900,0.8787621000083163,0.6468649008766783,1
100,10,19,CN-rand,30,3000,0.1713214999763295,0.807050976799793,0
100,10,19,CN-greedy,30,3000,0.23372229997767136,0.9845633518872767,0
100,10,19,analytic,0,0,0,0.22091382260669795,1
100,10,20,P,50,5000,0.22332129999995232,0.8378073090034142,1
100,10,20,CN,123,12300,0.736178099992685,0.6693135762996233,1
100,10,20,CN-rand,30,3000,0.1999278999865055,0.7542519792161568,0
100,10,20,CN-greedy,30,3000,0.24791199999162927,0.9848222468764375,0
100,10,20,analytic,0,0,0,0.35977172439668,1
100,10,21,P,64,6400,0.2861030999920331,0.8687771907199003,1
100,10,21,CN,127,12700,0.8197565000155009,0.6443234770614634,1
100,10,21,CN-rand,30,3000,0.16824809997342527,0.7673345198335779,0
100,10,21,CN-greedy,30,3000,0.23458859999664128,0.9769917048513022,0
100,10,21,analytic,0,0,0,0.6116926448147147,1
100,10,22,P,58,5800,0.24853579996852204,0.8187197897752646,1
100,10,22,CN,268,26800,1.5119440999696963,0.6034570487773381,1
100,10,22,CN-rand,30,3000,0.16591600002720952,0.7704073915789251,0
100,10,22,CN-greedy,30,3000,0.20672419999027625,0.9741021895130392,0
100,10,22,analytic,0,0,0,0.27446440884346096,1
100,10,23,P,52,5200,0.20122249994892627,0.8921528355891047,1
100,10,23,CN,111,11100,0.6060980000183918,0.5539277874918839,1
100,10,23,CN-rand,30,3000,0.1622571999905631,0.7649771401918418,0
100,10,23,CN-greedy,30,3000,0.20720559998881072,0.9873640925794365,0
100,10,23,analytic,0,0,0,0.5535966284616758,1
100,10,24,P,54,5400,0.2094589999760501,0.8392802115888072,1
100,10,24,CN,112,11200,0.6396363999811001,0.6991540829359258,1
100,10,24,CN-rand,30,3000,0.167102400038857,0.7335175919163821,0
100,10,24,CN-greedy,30,3000,0.2044707000022754,0.9666876936710989,0
100,10,24,analytic,0,0,0,0.38977884067758506,1
100,10,25,P,50,5000,0.2046025000163354,0.8670446651345727,1
100,10,25,CN,83,8300,0.486557999975048,0.6052017416946968,1
100,10,25,CN-rand,30,3000,0.1655841000028886,0.7176966854951524,0
100,10,25,CN-greedy,30,3000,0.2023192999768071,0.9809073404549095,0
100,10,25,analytic,0,0,0,0.5357854091129405,1
100,10,26,P,64,6400,0.245674500009045,0.8500872514969838,1
100,10,26,CN,161,16100,0.8979894999647513,0.6230952740758545,1
100,10,26,CN-rand,30,3000,0.1720365000073798,0.7525461506521779,0
100,10,26,CN-greedy,30,3000,0.21472639997955412,0.9789946403485509,0
100,10,26,analytic,0,0,0,0.39194102113311263,1
100,10,27,P,53,5300,0.19959179998841137,0.816938172274414,1
100,10,27,CN,151,15100,0.8423522000084631,0.627711591056031,1
100,10,27,CN-rand,30,3000,0.18053640000289306,0.7844805292148008,0
100,10,27,CN-greedy,30,3000,0.21280069998465478,0.9770410374527616,0
100,10,27,analytic,0,0,0,0.3389448602156397,1
100,10,28,P,73,7300,0.28635519999079406,0.9028293395064143,1
100,10,28,CN,152,15200,0.894568599993363,0.6221816921734239,1
100,10,28,CN-rand,30,3000,0.16874259995529428,0.6735449042749649,0
100,10,28,CN-greedy,30,3000,0.20949460001429543,0.9825571620161572,0
100,10,28,analytic,0,0,0,0.5346766070937145,1
100,10,29,P,52,5200,0.20942480000667274,0.7770160265768907,1
100,10,29,CN,112,11200,0.6214657000382431,0.5796114626100309,1
100,10,29,CN-rand,30,3000,0.1665938000078313,0.7225702580921449,0
100,10,29,CN-greedy,30,3000,0.20580850000260398,0.9643985141431017,0
100,10,29,analytic,0,0,0,0.33777978628166094,1
500,20,0,P,72,36000,2.1128939999616705,0.8356834990120553,1
500,20,0,CN,264,132000,11.074772199965082,0.43713884104620654,1
500,20,0,CN-rand,30,15000,1.2081416999571957,0.47921671398859333,0
500,20,0,CN-greedy,30,15000,1.6768668000004254,0.9555720418833848,0
500,20,0,analytic,0,0,0,0.5880254354582061,1
500,20,1,P,77,38500,2.2269162999582477,0.8314742066617505,1
500,20,1,CN,256,128000,10.368346399976872,0.4345152817210769,1
500,20,1,CN-rand,30,15000,1.377998000010848,0.6338428617761103,0
500,20,1,CN-greedy,30,15000,1.7647385000018403,0.9650145454528147,0
500,20,1,analytic,0,0,0,0.5262280105594684,1
500,20,2,P,85,42500,2.4705940000130795,0.8252928699082891,1
500,20,2,CN,261,130500,10.662664400006179,0.39900880780036185,1
500,20,2,CN-rand,30,15000,1.2616888000047766,0.5487143043439718,0
500,20,2,CN-greedy,30,15000,1.716186000034213,0.9539734576650667,0
500,20,2,analytic,0,0,0,0.524670734486642,1
500,20,3,P,83,41500,2.416985299962107,0.8365751503518569,1
500,20,3,CN,214,107000,10.214866599999368,0.45404107579231484,1
500,20,3,CN-rand,30,15000,1.3357420000247657,0.5997330062166003,0
500,20,3,CN-greedy,30,15000,1.9396759999799542,0.9669241944345194,0
500,20,3,analytic,0,0,0,0.5190552282159404,1
500,20,4,P,78,39000,2.3590960999717936,0.8302559517345498,1
500,20,4,CN,342,171000,16.523808899975847,0.4793052457168057,1
500,20,4,CN-rand,30,15000,1.6098719000001438,0.5711962295037448,0
500,20,4,CN-greedy,30,15000,2.1162808999652043,0.968922451080282,0
500,20,4,analytic,0,0,0,0.48908635173970916,1
500,20,5,P,99,49500,3.734362799965311,0.8128704667824622,1
500,20,5,CN,373,186500,15.90395340003306,0.4934292895132809,1
500,20,5,CN-rand,30,15000,1.2320606000139378,0.612432502880686,0
500,20,5,CN-greedy,30,15000,1.6965505999978632,0.9742655112066279,0
500,20,5,analytic,0,0,0,0.4447059636354951,1
500,20,6,P,87,43500,2.529727399989497,0.7967957219470101,1
500,20,6,CN,257,128500,11.113828199973796,0.3916706224835003,1
500,20,6,CN-rand,30,15000,1.2911604999681003,0.5633622938292376,0
500,20,6,CN-greedy,30,15000,1.7682748999795876,0.9788287844337062,0
500,20,6,analytic,0,0,0,0.5037819166389426,1
500,20,7,P,98,49000,3.132615100010298,0.831605468182048,1
500,20,7,CN,269,134500,12.111160899978131,0.40213361000428255,1
500,20,7,CN-rand,30,15000,1.2496099999989383,0.5473203280579542,0
500,20,7,CN-greedy,30,15000,1.8379488000064157,0.9661710861189591,0
500,20,7,analytic,0,0,0,0.5197877202139263,1
500,20,8,P,77,38500,2.287385700037703,0.8054944850662304,1
500,20,8,CN,182,91000,7.7936672999639995,0.47888172770325016,1
500,20,8,CN-rand,30,15000,1.2757849000045098,0.583772697615556,0
500,20,8,CN-greedy,30,15000,1.8687375000445172,0.961384622789374,0
500,20,8,analytic,0,0,0,0.45496941543466085,1
500,20,9,P,77,38500,2.394767799996771,0.8688298040643767,1
500,20,9,CN,262,131000,10.964248900010716,0.5463440200437779,1
500,20,9,CN-rand,30,15000,1.3477825000300072,0.5816697193427477,0
500,20,9,CN-greedy,30,15000,2.2029572000028566,0.9673938651659065,0
500,20,9,analytic,0,0,0,0.6465843409430547,1
500,20,10,P,84,42000,3.3641861000214703,0.7730410934112687,1
500,20,10,CN,258,129000,16.012956399994437,0.5082091217362718,1
500,20,10,CN-rand,30,15000,2.236072300001979,0.5907659695489932,0
500,20,10,CN-greedy,30,15000,2.65579670004081,0.9636291134214646,0
500,20,10,analytic,0,0,0,0.34624510896950067,1
500,20,11,P,88,44000,2.726431799994316,0.8451970831826034,1
500,20,11,CN,246,123000,12.602080599986948,0.45698147966170477,1
500,20,11,CN-rand,30,15000,1.4740217999788001,0.6201892733218652,0
500,20,11,CN-greedy,30,15000,2.6311388000031,0.9452454010491248,0
500,20,11,analytic,0,0,0,0.5699393595679232,1
500,20,12,P,75,37500,2.284719599992968,0.8126225931388035,1
500,20,12,CN,294,147000,12.848550800001249,0.4319261981229609,1
500,20,12,CN-rand,30,15000,1.967497200006619,0.6406566287700697,0
500,20,12,CN-greedy,30,15000,2.747947599971667,0.9557539132682336,0
500,20,12,analytic,0,0,0,0.4465876732010748,1
500,20,13,P,80,40000,2.9495026000076905,0.8157700494944342,1
500,20,13,CN,278,139000,12.66467610001564,0.5696920986503189,1
500,20,13,CN-rand,30,15000,1.495974599965848,0.6258386543868805,0
500,20,13,CN-greedy,30,15000,2.4473609999986365,0.9521774049824282,0
500,20,13,analytic,0,0,0,0.46885054817125466,1
500,20,14,P,75,37500,2.282654199982062,0.7980537535070109,1
500,20,14,CN,265,132500,15.594780699990224,0.5168855085859064,1
500,20,14,CN-rand,30,15000,1.370389099989552,0.61338051090371,0
500,20,14,CN-greedy,30,15000,1.7094008999993093,0.9637437426942722,0
500,20,14,analytic,0,0,0,0.42443058913894116,1
500,20,15,P,92,46000,2.7014715999830514,0.8504172465522077,1
500,20,15,CN,242,121000,13.688589000026695,0.4066333742068229,1
500,20,15,CN-rand,30,15000,1.4421886999625713,0.5257639728602449,0
500,20,15,CN-greedy,30,15000,1.941965000005439,0.9674675895475623,0
500,20,15,analytic,0,0,0,0.5422591826588443,1
500,20,16,P,65,32500,2.7417996000149287,0.8392510284958886,1
500,20,16,CN,338,169000,18.57387630001176,0.47105947032409007,1
500,20,16,CN-rand,30,15000,2.3557580999913625,0.6460599643278498,0
500,20,16,CN-greedy,30,15000,2.6990596000105143,0.9711871016232683,0
500,20,16,analytic,0,0,0,0.590841210063403,1
500,20,17,P,89,44500,2.8048058999702334,0.8786676674092713,1
500,20,17,CN,270,135000,13.793269399960991,0.42197803487739055,1
500,20,17,CN-rand,30,15000,1.7600834000040777,0.5896187555006904,0
500,20,17,CN-greedy,30,15000,2.267253899946809,0.9566916297012202,0
500,20,17,analytic,0,0,0,0.6657406984622013,1
500,20,18,P,84,42000,2.6559410999761894,0.8496844417428294,1
500,20,18,CN,304,152000,16.081627499952447,0.47445955132693757,1
500,20,18,CN-rand,30,15000,1.6277174999704584,0.5626388706382358,0
500,20,18,CN-greedy,30,15000,1.7888581000152044,0.9556636233122424,0
500,20,18,analytic,0,0,0,0.6112409680952404,1
500,20,19,P,84,42000,2.652254099957645,0.8201422074854547,1
500,20,19,CN,376,188000,17.01490560005186,0.5647905302614896,1
500,20,19,CN-rand,30,15000,1.7199355000047944,0.5505917875323836,0
500,20,19,CN-greedy,30,15000,2.514248499996029,0.9637589468102316,0
500,20,19,analytic,0,0,0,0.518013080478235,1
500,20,20,P,102,51000,3.4720840000081807,0.8338324064520896,1
500,20,20,CN,416,208000,20.022869399981573,0.5142958758251311,1
500,20,20,CN-rand,30,15000,1.461819599964656,0.6047867833208016,0
500,20,20,CN-greedy,30,15000,2.1584795999806374,0.9761604409932838,0
500,20,20,analytic,0,0,0,0.6077540486444402,1
500,20,21,P,78,39000,3.570276600017678,0.8073615247259212,1
500,20,21,CN,329,164500,24.154973800003063,0.5123852656468671,1
500,20,21,CN-rand,30,15000,1.6432528999866918,0.5088905318125116,0
500,20,21,CN-greedy,30,15000,3.1806886000558734,0.9563497057520908,0
500,20,21,analytic,0,0,0,0.5064767832390874,1
500,20,22,P,79,39500,3.5887364999507554,0.7724867523637646,1
500,20,22,CN,183,91500,10.131608799973037,0.4911202381692928,1
500,20,22,CN-rand,30,15000,1.4496798000182025,0.5698537014852203,0
500,20,22,CN-greedy,30,15000,2.4030717000132427,0.9691832050367407,0
500,20,22,analytic,0,0,0,0.39052729959383975,1
500,20,23,P,89,44500,4.655174899962731,0.8156720297108289,1
500,20,23,CN,247,123500,17.841887000016868,0.45079963136934215,1
500,20,23,CN-rand,30,15000,1.7628029999905266,0.6399191464394028,0
500,20,23,CN-greedy,30,15000,2.109234400035348,0.9740746552492574,0
500,20,23,analytic,0,0,0,0.42056465456720504,1
500,20,24,P,79,39500,3.2062745000002906,0.7245006408729309,1
500,20,24,CN,289,144500,16.734455499972682,0.5043921562160897,1
500,20,24,CN-rand,30,15000,1.7878231999929994,0.49657616616146627,0
500,20,24,CN-greedy,30,15000,2.231911000038963,0.9708284261148044,0
500,20,24,analytic,0,0,0,0.2708992608761479,1
500,20,25,P,76,38000,3.043502999993507,0.8123145963970395,1
500,20,25,CN,189,94500,12.172298400022555,0.5502032712189197,1
500,20,25,CN-rand,30,15000,1.836663399997633,0.6319364325076915,0
500,20,25,CN-greedy,30,15000,2.1102022000122815,0.9619835819427314,0
500,20,25,analytic,0,0,0,0.5145931424910463,1
500,20,26,P,81,40500,3.149793899967335,0.845567329361346,1
500,20,26,CN,300,150000,17.1917664000066,0.5132346094293765,1
500,20,26,CN-rand,30,15000,1.5015955999842845,0.45087267122288605,0
500,20,26,CN-greedy,30,15000,2.039279699965846,0.9630148330213882,0
500,20,26,analytic,0,0,0,0.5948899946474987,1
500,20,27,P,84,42000,4.1234344999538735,0.7965868046186987,1
