m,n,rep,method,sweeps,chords,seconds,relC_final,relC@5,relC@30,converged
500,20,1,chebyshev,0,0,0.016514899965841323,1.0,nan,nan,1
500,20,2,P,4,2080,0.10319269995670766,0.7430487217777347,0.7430487217777347,0.7430487217777347,1
500,20,2,CN,12,6240,0.44203390000620857,0.5055392090891452,0.44251852778245676,0.5055392090891452,1
500,20,2,HYB,5,2600,0.14017580001382157,0.46417443502542216,0.46417443502542216,0.46417443502542216,1
500,20,2,CN-rand,30,15600,1.1419101000064984,0.49037766899467344,0.4948034091697415,0.49037766899467344,0
500,20,2,CN-greedy,30,15600,1.6654987999936566,0.3638653940665012,0.19612004538668412,0.3638653940665012,0
500,20,2,analytic,0,0,0.0016382000176236033,0.07567368945290602,nan,nan,1
500,20,2,chebyshev,0,0,0.017119399970397353,1.0,nan,nan,1
500,20,3,P,4,2080,0.09414459997788072,0.7664291752852724,0.7664291752852724,0.7664291752852724,1
500,20,3,CN,10,5200,0.35918490000767633,0.5495656574663136,0.4521255228307999,0.5495656574663136,1
500,20,3,HYB,5,2600,0.15536470001097769,0.4977693956486207,0.4977693956486207,0.4977693956486207,1
500,20,3,CN-rand,30,15600,1.093161600001622,0.4329167013233083,0.4714152014696839,0.4329167013233083,0
500,20,3,CN-greedy,30,15600,1.6741281000431627,0.36438937797291004,0.1784575007456063,0.36438937797291004,0
500,20,3,analytic,0,0,0.001031499996315688,0.072648602978015,nan,nan,1
500,20,3,chebyshev,0,0,0.015536399965640157,1.0,nan,nan,1
500,20,4,P,4,2080,0.09665690001565963,0.7592765931855787,0.7592765931855787,0.7592765931855787,1
500,20,4,CN,10,5200,0.36985810002079234,0.5239041619428052,0.45597850942007273,0.5239041619428052,1
500,20,4,HYB,5,2600,0.14284520002547652,0.4812272141870071,0.4812272141870071,0.4812272141870071,1
500,20,4,CN-rand,30,15600,1.1121021000435576,0.48283797329039807,0.4578614641381127,0.48283797329039807,0
500,20,4,CN-greedy,30,15600,1.5928216999745928,0.46066945269786297,0.16421645659335507,0.46066945269786297,0
500,20,4,analytic,0,0,0.001221999991685152,0.08171703265516699,nan,nan,1
500,20,4,chebyshev,0,0,0.016502999991644174,1.0,nan,nan,1
500,20,5,P,4,2080,0.09850690001621842,0.7641925212681174,0.7641925212681174,0.7641925212681174,1
500,20,5,CN,11,5720,0.4008505999809131,0.5496190860798469,0.53172715933101,0.5496190860798469,1
500,20,5,HYB,5,2600,0.14385210000909865,0.5697045807612663,0.5697045807612663,0.5697045807612663,1
500,20,5,CN-rand,30,15600,1.2601601000060327,0.45597067688201887,0.4721205090532074,0.45597067688201887,0
500,20,5,CN-greedy,30,15600,1.7224672000156716,0.4033421594796763,0.16342491235018258,0.4033421594796763,0
500,20,5,analytic,0,0,0.0012400000123307109,0.07571509021150824,nan,nan,1
500,20,5,chebyshev,0,0,0.020349099999293685,1.0,nan,nan,1
500,20,6,P,4,2080,0.10494410002138466,0.7727147615775214,0.7727147615775214,0.7727147615775214,1
500,20,6,CN,9,4680,0.3310477999621071,0.5670025432019503,0.5053208080933353,0.5670025432019503,1
500,20,6,HYB,5,2600,0.1445534999947995,0.5287412729975574,0.5287412729975574,0.5287412729975574,1
500,20,6,CN-rand,30,15600,1.144296399957966,0.5739074232824217,0.45995620771258605,0.5739074232824217,0
500,20,6,CN-greedy,30,15600,1.6689288999768905,0.354040210766084,0.14164471950729574,0.354040210766084,0
500,20,6,analytic,0,0,0.00122969999210909,0.07610701861118949,nan,nan,1
